community_id,eu_count,cv_tol,avg_start,stop_updates,avg_samples,formal_cv,held_cv,lambda_step,max_age,runtime_s,success,formal_stable,audit_pass,stop_reason,delay_hash,update_hash,qre_hash,error_message
1,85,15.762048874884,2033,3840,1807,15.7263114042316,2.63566066614089,2.11732368388118e-07,6,7.0614984,1,1,1,dynamic_average_price_step_and_relative_cv,2884567864,2534796045,1578552265,
3,50,6.97628663223797,994,2725,1731,6.95754009507601,0.299139523622216,4.98189718645126e-08,6,2.8811531,1,1,1,dynamic_average_price_step_and_relative_cv,3506153350,598670508,3192595514,
6,50,9.71436209667866,609,1769,1160,9.68334170956609,0.72599180354041,1.40248455959835e-07,6,2.3352091,1,1,1,dynamic_average_price_step_and_relative_cv,2316305030,1578487415,3280115120,
12,120,23.2394112483226,1213,2146,933,19.0582011003117,4.41427050080665,1.81957083220108e-07,6,5.7108171,1,1,1,dynamic_average_price_step_and_relative_cv,4256706802,4048870822,1494222986,
13,50,8.95157512634445,379,1226,847,8.90671162503335,0.286212574399372,5.58919636545196e-08,6,1.5912899,1,1,1,dynamic_average_price_step_and_relative_cv,3196504653,711637462,2747345230,
16,120,23.320868931589,1141,2034,893,18.9549635459425,4.25106626651984,1.761363709607e-07,6,5.9451394,1,1,1,dynamic_average_price_step_and_relative_cv,2556119254,1300856101,689368496,
17,120,26.3643926829096,1597,2692,1095,19.2290692496615,4.17411056902483,1.17669689200794e-07,6,6.8271459,1,1,1,dynamic_average_price_step_and_relative_cv,1867494790,1145244655,2863875874,
18,50,9.89413364394601,443,1396,953,9.85190930054765,0.757896628776251,1.20932704517074e-07,6,1.8617014,1,1,1,dynamic_average_price_step_and_relative_cv,1363483302,1141897098,4007611823,
20,120,23.434558391556,1269,2240,971,18.7790406609545,4.27726117084796,1.56198982650957e-07,6,6.0080006,1,1,1,dynamic_average_price_step_and_relative_cv,3960111762,3590395395,1650796071,
27,120,25.5614967513886,1422,2443,1021,18.8285658359639,4.32415705746746,1.40382740612677e-07,6,6.5982007,1,1,1,dynamic_average_price_step_and_relative_cv,3910604855,3523265897,3033341602,
41,50,7.8194304503297,1010,2741,1731,7.79802800648395,0.335276311909411,7.39103560576382e-08,6,3.0055343,1,1,1,dynamic_average_price_step_and_relative_cv,1424564905,793372248,388655846,
43,50,8.64550336135549,1056,2786,1730,8.62206525432907,0.371509472292473,6.64322218346669e-08,6,3.1781474,1,1,1,dynamic_average_price_step_and_relative_cv,3897041140,2119298595,1609102312,
49,400,83.3445018689556,8815,13123,4308,19.8084770356377,3.80949583936172,1.24919072863605e-08,6,104.7824794,1,1,1,dynamic_average_price_step_and_relative_cv,1228407103,1618257572,2845132361,
60,50,8.35845928990676,307,1113,806,8.313487036328,0.0289393293095372,5.93356688782798e-09,6,1.5209564,1,1,1,dynamic_average_price_step_and_relative_cv,3610107042,3352564251,1669159409,
63,120,26.6501299902289,1355,2302,947,19.0190211518678,4.59855373419271,1.78135872552776e-07,6,6.1435751,1,1,1,dynamic_average_price_step_and_relative_cv,2286278547,2601471763,3254186954,
65,420,80.4483175130709,5584,8478,2894,20.089549697781,4.67385561936112,1.68571217540325e-08,6,76.9991473,1,1,1,dynamic_average_price_step_and_relative_cv,369658441,4188492277,2731433833,
71,80,16.1935427509088,1322,2586,1264,16.1505271353079,2.8447888224598,1.66510188026603e-07,6,4.4714961,1,1,1,dynamic_average_price_step_and_relative_cv,3962481319,1701126253,2302497879,
74,200,38.9112317973313,3494,5598,2104,19.8661689242961,4.87810035495795,7.2390912292386e-08,6,20.2074027,1,1,1,dynamic_average_price_step_and_relative_cv,359240693,1726461679,2871143500,
76,377,73.5904921719744,5284,8091,2807,19.8546782515746,4.69829392857309,1.81962612616493e-08,6,96.3126518,1,1,1,dynamic_average_price_step_and_relative_cv,2044209013,4170877297,1862685950,
96,50,8.91006747744311,1033,2761,1728,8.88845302350205,0.384649730873207,8.83320327993431e-08,6,6.3816376,1,1,1,dynamic_average_price_step_and_relative_cv,718394222,3749974258,2124671731,
97,50,9.3106486479118,1047,2779,1732,9.28957619768573,0.398541324616986,6.22767230284982e-08,6,6.379002,1,1,1,dynamic_average_price_step_and_relative_cv,3951765510,3613298839,2531565286,
98,120,22.3745584231852,3151,5147,1996,19.2025625303713,4.97327579938224,1.65853407813055e-07,6,24.9816267,1,1,1,dynamic_average_price_step_and_relative_cv,2877702223,1048181426,1253591171,
99,120,23.9408326592741,3250,5246,1996,19.2146074051866,4.97639530408492,1.47210492601468e-07,6,26.4338808,1,1,1,dynamic_average_price_step_and_relative_cv,4000290938,3229960949,2225311328,
100,120,25.8307733718406,3314,5310,1996,19.2119469630184,4.97570627561072,1.59360517809626e-07,6,26.7502233,1,1,1,dynamic_average_price_step_and_relative_cv,3121594316,265866204,1526876894,
105,110,22.0140917112672,2888,4718,1830,19.1857485723804,4.97314717257768,1.86384543049423e-07,6,22.5462463,1,1,1,dynamic_average_price_step_and_relative_cv,51197516,125587644,279132800,
115,50,9.13102673534171,1056,2785,1729,9.11075145946916,0.393417048379547,7.14917555988404e-08,6,6.6408874,1,1,1,dynamic_average_price_step_and_relative_cv,3633397958,3334638115,3912090153,
117,100,20.9091784084902,2616,4279,1663,19.1325642614852,4.96901716334855,2.68829566052453e-07,6,18.6629786,1,1,1,dynamic_average_price_step_and_relative_cv,2688165552,2736527819,1475316810,
119,120,24.6053576775942,3249,5245,1996,19.2025244099955,4.97326592657441,1.18880349342376e-07,6,26.0027316,1,1,1,dynamic_average_price_step_and_relative_cv,139946065,1488083053,2799853767,
123,90,18.2354395849838,2275,3872,1597,18.1954771356707,4.26638060008895,2.33062204424428e-07,6,14.8805474,1,1,1,dynamic_average_price_step_and_relative_cv,1926608739,2426706692,1669234191,
